Admin, Teemworx (admin) --> 2020-03-30 14:23:03 --> signatories --> insert --> condition -->  --> All
Admin, Teemworx (admin) --> 2020-03-30 14:23:03 --> signatories --> insert --> class_id -->  --> 20
Admin, Teemworx (admin) --> 2020-03-30 14:23:04 --> signatories --> insert --> sequence -->  --> 1
Admin, Teemworx (admin) --> 2020-03-30 14:23:04 --> signatories --> insert --> company_id -->  --> 6
Admin, Teemworx (admin) --> 2020-03-30 14:23:04 --> signatories --> insert --> department_id -->  --> 3
Admin, Teemworx (admin) --> 2020-03-30 14:23:04 --> signatories --> insert --> position_id -->  --> 1
Admin, Teemworx (admin) --> 2020-03-30 14:23:04 --> signatories --> insert --> user_id -->  --> 12
Admin, Teemworx (admin) --> 2020-03-30 14:23:04 --> signatories --> insert --> alias -->  --> Garcia, Lexine 
Admin, Teemworx (admin) --> 2020-03-30 14:24:12 --> signatories --> insert --> approver -->  --> 1
Admin, Teemworx (admin) --> 2020-03-30 14:24:12 --> signatories --> insert --> email -->  --> 1
Admin, Teemworx (admin) --> 2020-03-30 14:24:12 --> signatories --> insert --> approver_id -->  --> 13
Admin, Teemworx (admin) --> 2020-03-30 14:24:12 --> signatories --> insert --> condition -->  --> All
Admin, Teemworx (admin) --> 2020-03-30 14:24:12 --> signatories --> insert --> class_id -->  --> 20
Admin, Teemworx (admin) --> 2020-03-30 14:24:12 --> signatories --> insert --> sequence -->  --> 1
Admin, Teemworx (admin) --> 2020-03-30 14:24:12 --> signatories --> insert --> company_id -->  --> 6
Admin, Teemworx (admin) --> 2020-03-30 14:24:12 --> signatories --> insert --> department_id -->  --> 3
Admin, Teemworx (admin) --> 2020-03-30 14:24:12 --> signatories --> insert --> position_id -->  --> 1
Admin, Teemworx (admin) --> 2020-03-30 14:24:12 --> signatories --> insert --> user_id -->  --> 12
Admin, Teemworx (admin) --> 2020-03-30 14:24:12 --> signatories --> insert --> alias -->  --> Garcia, Lexine 
Admin, Teemworx (admin) --> 2020-03-30 14:28:59 --> signatories --> insert --> approver -->  --> 1
Admin, Teemworx (admin) --> 2020-03-30 14:28:59 --> signatories --> insert --> email -->  --> 1
Admin, Teemworx (admin) --> 2020-03-30 14:28:59 --> signatories --> insert --> approver_id -->  --> 13
Admin, Teemworx (admin) --> 2020-03-30 14:28:59 --> signatories --> insert --> condition -->  --> All
Admin, Teemworx (admin) --> 2020-03-30 14:28:59 --> signatories --> insert --> class_id -->  --> 20
Admin, Teemworx (admin) --> 2020-03-30 14:28:59 --> signatories --> insert --> sequence -->  --> 1
Admin, Teemworx (admin) --> 2020-03-30 14:28:59 --> signatories --> insert --> company_id -->  --> 6
Admin, Teemworx (admin) --> 2020-03-30 14:28:59 --> signatories --> insert --> department_id -->  --> 3
Admin, Teemworx (admin) --> 2020-03-30 14:28:59 --> signatories --> insert --> position_id -->  --> 1
Admin, Teemworx (admin) --> 2020-03-30 14:28:59 --> signatories --> insert --> user_id -->  --> 12
Admin, Teemworx (admin) --> 2020-03-30 14:28:59 --> signatories --> insert --> alias -->  --> Garcia, Lexine 
Admin, Teemworx (admin) --> 2020-03-30 14:32:21 --> signatories --> insert --> approver -->  --> 1
Admin, Teemworx (admin) --> 2020-03-30 14:32:21 --> signatories --> insert --> email -->  --> 1
Admin, Teemworx (admin) --> 2020-03-30 14:32:21 --> signatories --> insert --> approver_id -->  --> 13
Admin, Teemworx (admin) --> 2020-03-30 14:32:21 --> signatories --> insert --> condition -->  --> All
Admin, Teemworx (admin) --> 2020-03-30 14:32:21 --> signatories --> insert --> class_id -->  --> 20
Admin, Teemworx (admin) --> 2020-03-30 14:32:21 --> signatories --> insert --> sequence -->  --> 1
