2020-07-28 13:18:09 --> appraisal_template --> insert --> performance_template_section --> Array --> 
2020-07-28 13:18:09 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:18:09 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:18:09 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:18:09 --> appraisal_template --> insert --> performance_template_section --> Array --> 
2020-07-28 13:18:09 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:18:09 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:18:09 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:58:15 --> performance_planning --> insert --> year -->  --> 2020
2020-07-28 13:58:15 --> performance_planning --> insert --> date_from -->  --> 2020-06-30
2020-07-28 13:58:15 --> performance_planning --> insert --> date_to -->  --> 2020-07-31
2020-07-28 13:58:15 --> performance_planning --> insert --> performance_type_id -->  --> 1
2020-07-28 13:58:15 --> performance_planning --> insert --> template_id -->  --> 2
2020-07-28 13:58:15 --> performance_planning --> insert --> notes -->  --> Duplicated
2020-07-28 13:58:15 --> performance_planning --> insert --> filter_by -->  --> 1
2020-07-28 13:58:15 --> performance_planning --> insert --> filter_id -->  --> 1,2
2020-07-28 13:58:15 --> performance_planning --> insert --> can_delete -->  --> 1
2020-07-28 13:58:15 --> performance_planning --> insert --> deleted -->  --> 0
2020-07-28 14:02:14 --> authentication --> login --> login -->  --> 
2020-07-28 14:02:35 --> performance_planning --> insert --> year -->  --> 2020
2020-07-28 14:02:35 --> performance_planning --> insert --> date_from -->  --> 2020-06-30
2020-07-28 14:02:35 --> performance_planning --> insert --> date_to -->  --> 2020-07-31
2020-07-28 14:02:35 --> performance_planning --> insert --> performance_type_id -->  --> 1
2020-07-28 14:02:35 --> performance_planning --> insert --> template_id -->  --> 2
2020-07-28 14:02:35 --> performance_planning --> insert --> status_id -->  --> 1
2020-07-28 14:02:36 --> performance_planning --> insert --> notes -->  --> Duplicated
2020-07-28 14:02:36 --> performance_planning --> insert --> filter_by -->  --> 1
2020-07-28 14:02:36 --> performance_planning --> insert --> filter_id -->  --> 1,2
2020-07-28 14:02:36 --> performance_planning --> insert --> can_delete -->  --> 1
2020-07-28 14:02:36 --> performance_planning --> insert --> deleted -->  --> 0
